,id,term,vader,liu,subj,liwc
264,aut267,autism,-0.9408000000000001,-4.0,2.0,1.0
265,aut268,autism,4.8167,3.0,-11.0,-4.0
266,aut269,autism,-2.9760999999999997,-3.0,2.0,11.0
267,aut270,autism,0.07719999999999999,-4.0,-2.0,12.0
268,aut271,autism,5.4483,8.0,-7.0,4.0
269,aut272,autism,2.7213000000000003,0.0,-9.0,9.0
270,aut273,autism,1.5465,3.0,-5.0,4.0
271,aut274,autism,7.9094999999999995,9.0,-10.0,7.0
272,aut275,autism,4.2539,6.0,-1.0,7.0
273,aut276,autism,0.7280999999999999,10.0,-9.0,-3.0
274,aut277,autism,3.1538,4.0,-1.0,10.0
275,aut278,autism,2.0077,-1.0,2.0,-3.0
276,aut279,autism,-2.7301,0.0,-6.0,4.0
277,aut280,autism,5.5272,5.0,4.0,8.0
278,aut281,autism,3.0773,4.0,-4.0,7.0
279,aut282,autism,1.685,-1.0,-6.0,0.0
280,aut283,autism,2.1074,2.0,-4.0,10.0
281,aut284,autism,0.8585,0.0,-3.0,4.0
282,aut285,autism,0.9797999999999998,0.0,-4.0,11.0
283,aut286,autism,-1.4286,0.0,-4.0,2.0
284,aut287,autism,0.6593,1.0,-3.0,3.0
285,aut288,autism,1.6776000000000002,0.0,-22.0,10.0
286,aut289,autism,7.231800000000001,14.0,12.0,8.0
287,aut290,autism,4.8888,4.0,-10.0,17.0
288,aut291,autism,0.6593,1.0,-3.0,3.0
289,aut292,autism,-0.6120999999999998,-7.0,-1.0,8.0
290,aut293,autism,4.281499999999999,-1.0,8.0,1.0
291,aut294,autism,3.1879000000000004,0.0,-14.0,9.0
292,aut295,autism,-1.587,-2.0,-19.0,4.0
293,aut296,autism,-1.4286,0.0,-4.0,2.0
294,aut297,autism,8.4014,10.0,6.0,16.0
295,aut298,autism,2.0976999999999997,4.0,-5.0,10.0
296,aut299,autism,0.9615000000000001,2.0,-9.0,8.0
297,aut300,autism,1.5977000000000001,3.0,-4.0,3.0
298,aut301,autism,4.8888,4.0,-10.0,17.0
299,aut302,autism,-3.3125999999999998,-7.0,-1.0,15.0
300,aut303,autism,1.6776000000000002,0.0,-22.0,10.0
301,aut304,autism,-3.3125999999999998,-7.0,-1.0,15.0
302,aut305,autism,-0.40159999999999996,-4.0,-1.0,1.0
303,aut306,autism,-3.4188,-6.0,-6.0,-3.0
304,aut307,autism,-5.6934999999999985,-15.0,-7.0,13.0
305,aut308,autism,2.0291999999999994,-5.0,-8.0,15.0
306,aut309,autism,1.2079,0.0,-39.0,25.0
307,aut310,autism,14.205599999999999,20.0,-5.0,30.0
308,aut311,autism,5.937900000000001,11.0,6.0,14.0
309,aut312,autism,-1.1120999999999999,-4.0,-6.0,3.0
310,aut313,autism,4.536,5.0,-2.0,-1.0
311,aut314,autism,1.6042,4.0,1.0,-3.0
312,aut315,autism,1.2744999999999997,-4.0,-7.0,11.0
313,aut316,autism,2.3475,0.0,3.0,-1.0
314,aut317,autism,10.2393,13.0,-7.0,22.0
315,aut318,autism,1.9877000000000002,1.0,-11.0,10.0
316,aut319,autism,-4.3547,-8.0,-1.0,4.0
317,aut320,autism,5.581,4.0,-1.0,11.0
318,aut321,autism,2.2755,-5.0,-5.0,7.0
319,aut322,autism,3.4858,-4.0,3.0,5.0
320,aut323,autism,-0.49870000000000003,4.0,-2.0,10.0
321,aut324,autism,4.536,5.0,-2.0,-1.0
322,aut325,autism,-4.080699999999999,-6.0,-1.0,6.0
323,aut326,autism,-0.6151,-5.0,-6.0,3.0
324,cog0,cognition,1.1101999999999999,0.0,-2.0,3.0
325,cog1,cognition,6.721200000000002,0.0,6.0,4.0
326,cog2,cognition,-4.167700000000001,-5.0,-4.0,11.0
327,cog3,cognition,2.4678,4.0,-11.0,-1.0
328,cog4,cognition,-2.9158999999999997,-6.0,-4.0,5.0
329,cog5,cognition,5.4674000000000005,5.0,1.0,-12.0
330,cog6,cognition,9.367100000000002,10.0,-12.0,9.0
331,cog7,cognition,2.0018999999999996,3.0,-9.0,-3.0
332,cog8,cognition,1.3103999999999998,1.0,-5.0,-1.0
333,cog9,cognition,-1.3411000000000002,-7.0,4.0,9.0
334,cog10,cognition,-1.0629000000000004,-7.0,-8.0,-1.0
335,cog11,cognition,2.564,-5.0,-4.0,17.0
336,cog12,cognition,3.4155999999999995,2.0,0.0,1.0
337,cog13,cognition,2.2983999999999996,-1.0,-6.0,-5.0
338,cog14,cognition,6.054500000000001,10.0,9.0,0.0
339,cog15,cognition,1.495,1.0,1.0,16.0
340,cog16,cognition,0.3943000000000002,-11.0,-4.0,2.0
341,cog17,cognition,1.6874000000000002,-7.0,-5.0,18.0
342,cog18,cognition,3.5001,2.0,-7.0,1.0
343,cog19,cognition,6.1168,13.0,-11.0,8.0
344,cog20,cognition,4.466700000000001,4.0,-3.0,8.0
345,cog21,cognition,1.9541999999999997,-9.0,-11.0,-10.0
346,cog22,cognition,2.8613999999999997,-5.0,-12.0,9.0
347,cog23,cognition,-1.0629000000000004,-7.0,-8.0,-1.0
348,cog24,cognition,1.495,1.0,1.0,16.0
349,cog25,cognition,3.2575999999999996,6.0,-5.0,10.0
350,cog26,cognition,1.3516,2.0,-15.0,23.0
351,cog27,cognition,1.3417000000000001,2.0,-3.0,7.0
352,cog28,cognition,-5.051800000000001,-11.0,0.0,12.0
353,cog29,cognition,7.3385,9.0,2.0,34.0
354,cog30,cognition,12.347199999999999,13.0,-4.0,-10.0
355,cog31,cognition,0.9095,-1.0,-4.0,5.0
356,cog32,cognition,7.2387,11.0,5.0,-7.0
357,cog33,cognition,2.8988,2.0,0.0,7.0
358,cog34,cognition,7.254100000000001,8.0,-1.0,-9.0
359,cog35,cognition,4.124900000000001,1.0,-4.0,-5.0
360,cog36,cognition,2.5374,4.0,-1.0,0.0
361,cog37,cognition,2.8939999999999997,6.0,-6.0,11.0
362,cog38,cognition,-0.3426000000000001,-3.0,7.0,-20.0
363,cog39,cognition,3.1691000000000007,0.0,4.0,4.0
364,cog40,cognition,-1.3664,-3.0,-1.0,6.0
365,cog41,cognition,-1.975099999999999,-4.0,-1.0,-1.0
366,cog42,cognition,3.3169,5.0,0.0,18.0
367,cog43,cognition,2.7779,1.0,8.0,0.0
368,cog44,cognition,1.6052,4.0,-11.0,4.0
369,cog45,cognition,3.9410999999999996,5.0,10.0,11.0
370,cog46,cognition,3.1038,1.0,11.0,-3.0
371,cog47,cognition,-5.520399999999999,-19.0,-14.0,-4.0
372,cog48,cognition,1.3946000000000003,1.0,-1.0,-2.0
373,cog49,cognition,0.9325,2.0,-1.0,12.0
374,cog50,cognition,3.059,6.0,-6.0,0.0
375,cog51,cognition,1.4341,3.0,-3.0,2.0
376,cog52,cognition,5.5746,8.0,-1.0,17.0
377,cog53,cognition,2.1529000000000003,-3.0,10.0,-4.0
378,cog54,cognition,-0.5081000000000002,-5.0,-4.0,4.0
379,cog55,cognition,4.3828,2.0,-7.0,4.0
380,cog57,cognition,1.1194,1.0,0.0,4.0
381,cog58,cognition,4.9726,12.0,-4.0,1.0
382,cog59,cognition,2.6652999999999993,-1.0,-2.0,-6.0
383,cog60,cognition,3.6869,3.0,-1.0,-5.0
384,cog61,cognition,3.1564999999999994,2.0,-2.0,-5.0
385,cog62,cognition,5.635000000000001,12.0,-9.0,4.0
386,cog63,cognition,9.208400000000001,11.0,-5.0,13.0
387,cog64,cognition,1.4652,-13.0,3.0,-8.0
388,cog65,cognition,1.114,-1.0,-9.0,6.0
389,cog66,cognition,5.5504,6.0,-2.0,7.0
390,cog67,cognition,-0.5801,0.0,-4.0,9.0
391,cog68,cognition,2.0327,-1.0,5.0,-2.0
392,cog69,cognition,-2.2015999999999996,-3.0,-2.0,10.0
393,cog70,cognition,3.7715000000000005,0.0,2.0,19.0
394,cog71,cognition,-2.3299000000000003,-11.0,7.0,-10.0
395,cog72,cognition,5.6688,4.0,4.0,-2.0
396,cog73,cognition,-4.0331,-2.0,4.0,1.0
397,cog74,cognition,1.8004,-7.0,-7.0,8.0
398,cog75,cognition,-0.03160000000000007,-2.0,0.0,2.0
399,cog76,cognition,4.9954,8.0,-3.0,-3.0
400,cog77,cognition,0.9597000000000002,-1.0,-2.0,5.0
401,cog78,cognition,-0.04959999999999998,-7.0,-6.0,19.0
402,cog79,cognition,4.2962,3.0,-2.0,3.0
403,cog80,cognition,0.993,-6.0,-5.0,6.0
404,cog81,cognition,10.037499999999998,3.0,4.0,7.0
405,cog82,cognition,-0.9466,-2.0,-6.0,4.0
406,cog83,cognition,9.111799999999999,17.0,-1.0,8.0
407,cog84,cognition,0.5600999999999999,0.0,-1.0,4.0
408,cog85,cognition,-0.3963000000000005,5.0,21.0,-7.0
409,cog86,cognition,5.655400000000001,12.0,-15.0,11.0
410,cog87,cognition,-7.015499999999999,-9.0,-5.0,-1.0
411,cog88,cognition,-0.7006000000000001,-1.0,1.0,-3.0
412,cog89,cognition,0.03559999999999997,2.0,1.0,4.0
413,cog90,cognition,-2.0247999999999995,-7.0,2.0,-2.0
414,cog91,cognition,5.679300000000001,8.0,2.0,14.0
415,cog92,cognition,4.5947000000000005,6.0,10.0,3.0
416,cog93,cognition,0.9318000000000001,-3.0,-5.0,3.0
417,cog94,cognition,0.047199999999999465,3.0,-2.0,10.0
418,cog95,cognition,3.9575000000000005,5.0,-8.0,-4.0
419,cog96,cognition,1.9085999999999999,6.0,4.0,0.0
420,cog97,cognition,5.0362,1.0,-2.0,7.0
