,id,term,vader,liu,subj,liwc
0,29295738,autism,2.7727999999999997,0.0,-4.0,4.0
1,29179772,autism,2.7019,6.0,-3.0,12.0
2,29090080,autism,-0.6063999999999999,-2.0,-2.0,1.0
3,29198039,autism,-1.504,-2.0,1.0,-1.0
4,29112198,autism,-2.9789000000000003,-5.0,-3.0,1.0
5,29236210,autism,-0.1074,-1.0,-2.0,-2.0
6,29051774,autism,2.6332999999999998,5.0,-2.0,2.0
7,29204929,autism,-0.8682000000000001,-1.0,3.0,-2.0
8,29080033,autism,0.5711,-1.0,0.0,2.0
9,29074403,autism,0.4954000000000001,2.0,0.0,2.0
10,29221905,autism,0.9125000000000001,0.0,-3.0,3.0
11,29126368,autism,-0.8250000000000001,-7.0,-3.0,-1.0
12,29348041,autism,-0.4153,0.0,1.0,4.0
13,29170682,autism,1.2670000000000001,1.0,-3.0,3.0
14,29209259,autism,1.1237,2.0,0.0,-1.0
15,29224173,autism,-1.5108,-5.0,-6.0,6.0
16,29066747,autism,1.9615,5.0,3.0,2.0
17,29193847,autism,2.8617,-5.0,3.0,1.0
18,29090595,autism,1.5975000000000001,-1.0,4.0,3.0
19,29233794,autism,2.1290999999999998,0.0,2.0,1.0
20,29187318,autism,1.0629,0.0,-4.0,3.0
21,29116166,autism,1.3199999999999998,1.0,-5.0,4.0
22,29032150,autism,-0.4586,1.0,2.0,7.0
23,29168088,autism,0.14759999999999995,0.0,5.0,1.0
24,29321759,autism,0.30500000000000005,1.0,-2.0,2.0
25,29157514,autism,-1.1501000000000001,-1.0,1.0,5.0
26,29251836,autism,0.11170000000000005,0.0,-5.0,-7.0
27,29048417,autism,-0.2246999999999999,1.0,2.0,-1.0
28,29227584,autism,-1.7886,-2.0,-4.0,5.0
29,29128334,autism,-1.1437999999999997,-3.0,1.0,6.0
30,29141250,autism,-0.06319999999999998,0.0,-3.0,3.0
31,29286389,autism,2.3442000000000003,3.0,-1.0,-3.0
32,29178513,autism,0.20240000000000008,-3.0,-2.0,3.0
33,29023380,autism,0.7814999999999999,1.0,0.0,0.0
34,29058782,autism,-0.23030000000000003,-1.0,-4.0,0.0
35,29263838,autism,-0.2263,1.0,-1.0,-2.0
36,29147839,autism,0.16999999999999998,-1.0,2.0,5.0
37,29024164,autism,1.6168,3.0,3.0,-1.0
38,29175955,autism,1.3040000000000003,7.0,1.0,17.0
39,29288796,autism,-1.4099000000000002,-1.0,-6.0,0.0
